Human milk	"Milk, human, mature, fluid"
Milk substitutes	"Cream, fluid, heavy whipping"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, reduced fat"	"Milk, NFS"
"Flavored milk, reduced fat"	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
"Flavored milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Flavored milk, whole"	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
"Flavored milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, reduced fat"	"Milk, NFS"
"Flavored milk, reduced fat"	"Beverages, chocolate powder, no sugar added"
"Flavored milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Flavored milk, whole"	"Beverages, chocolate powder, no sugar added"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Beverages, chocolate powder, no sugar added"
"Flavored milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Beverages, chocolate powder, no sugar added"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Beverages, chocolate powder, no sugar added"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Beverages, chocolate powder, no sugar added"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, reduced fat"	"Milk, NFS"
"Flavored milk, reduced fat"	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
"Flavored milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
