Human milk	"Milk, human, mature, fluid"
Vegetable mixed dishes	"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Sauce, homemade, white, medium"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt"
Vegetable mixed dishes	"Sauce, homemade, white, medium"
Eggs and omelets	"Squash, summer, all varieties, cooked, boiled, drained, without salt"
Eggs and omelets	"Butter, salted"
Eggs and omelets	"Wheat flour, white, all-purpose, enriched, bleached"
Eggs and omelets	"Salt, table"
Eggs and omelets	"Milk, NFS"
Eggs and omelets	"Egg, whole, raw, fresh"
Vegetable mixed dishes	"Turnips, frozen, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Sauce, homemade, white, medium"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Turnips, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Sauce, homemade, white, medium"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Turnips, frozen, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Sauce, homemade, white, medium"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Turnips, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Sauce, homemade, white, medium"
Vegetable mixed dishes	"Chayote, fruit, raw"
Vegetable mixed dishes	Cornstarch
Vegetable mixed dishes	"Sugars, granulated"
Vegetable mixed dishes	"Egg, yolk, raw, fresh"
Vegetable mixed dishes	"Milk, whole, 3.25% milkfat, with added vitamin D"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Raisins, seedless"
Vegetable mixed dishes	"Margarine, stick, salted"
Vegetable mixed dishes	"Crackers, saltines (includes oyster, soda, soup)"
Vegetable mixed dishes	"Carrots, raw"
Vegetable mixed dishes	"Onions, raw"
Vegetable mixed dishes	"Peas, green, raw"
Vegetable mixed dishes	"Tomatoes, red, ripe, canned, packed in tomato juice"
Vegetable mixed dishes	"Potatoes, flesh and skin, raw"
Vegetable mixed dishes	"Gravy, beef, canned, ready-to-serve"
Stir-fry and soy-based sauce mixtures	"Restaurant, Chinese, vegetable chow mein, without meat or noodles"
Stir-fry and soy-based sauce mixtures	"Carrots, cooked, boiled, drained, without salt"
Stir-fry and soy-based sauce mixtures	"Broccoli, cooked, boiled, drained, without salt"
Stir-fry and soy-based sauce mixtures	"Onions, cooked, boiled, drained, without salt"
Stir-fry and soy-based sauce mixtures	"Garlic, raw"
Stir-fry and soy-based sauce mixtures	"Ginger root, raw"
Stir-fry and soy-based sauce mixtures	Soy sauce made from soy and wheat (shoyu)
Stir-fry and soy-based sauce mixtures	"Soup, beef broth or bouillon canned, ready-to-serve"
Stir-fry and soy-based sauce mixtures	"Vegetable oil, NFS"
Stir-fry and soy-based sauce mixtures	"Onions, young green, tops only"
Stir-fry and soy-based sauce mixtures	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Stir-fry and soy-based sauce mixtures	"Beans, snap, green, cooked, boiled, drained, without salt"
Stir-fry and soy-based sauce mixtures	"Onions, cooked, boiled, drained, without salt"
Stir-fry and soy-based sauce mixtures	"Mushrooms, white, cooked, boiled, drained, without salt"
Stir-fry and soy-based sauce mixtures	"Garlic, raw"
Stir-fry and soy-based sauce mixtures	"Ginger root, raw"
Stir-fry and soy-based sauce mixtures	Soy sauce made from soy and wheat (shoyu)
Stir-fry and soy-based sauce mixtures	"Soup, beef broth or bouillon canned, ready-to-serve"
Stir-fry and soy-based sauce mixtures	"Vegetable oil, NFS"
Stir-fry and soy-based sauce mixtures	"Onions, young green, tops only"
Vegetable mixed dishes	"Cauliflower, raw"
Vegetable mixed dishes	"Broccoli, raw"
Vegetable mixed dishes	"Peppers, sweet, green, raw"
Vegetable mixed dishes	"Sweet potato, raw, unprepared"
Vegetable mixed dishes	"Beans, snap, green, raw"
Vegetable mixed dishes	"Mushrooms, white, raw"
Vegetable mixed dishes	"Squash, summer, zucchini, includes skin, raw"
Vegetable mixed dishes	"Onions, raw"
Vegetable mixed dishes	"Egg, yolk, raw, fresh"
Vegetable mixed dishes	"Water, tap, municipal"
Vegetable mixed dishes	"Wheat flour, white, all-purpose, enriched, bleached"
Vegetable mixed dishes	"Vegetable oil, NFS"
Vegetable mixed dishes	"Broccoli, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Carrots, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, red, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Cauliflower, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Tomato products, canned, sauce"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt"
Vegetable mixed dishes	"Beans, snap, green, frozen, cooked, boiled, drained without salt"
Vegetable mixed dishes	"Peas, green, frozen, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Onions, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Tomato products, canned, sauce"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Potatoes, flesh and skin, raw"
Vegetable mixed dishes	"Onions, raw"
Vegetable mixed dishes	"Cauliflower, raw"
Vegetable mixed dishes	"Eggplant, raw"
Vegetable mixed dishes	"Plantains, raw"
Vegetable mixed dishes	"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw"
Vegetable mixed dishes	"Water, tap, municipal"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Spices, turmeric, ground"
Vegetable mixed dishes	"Spices, parsley, dried"
Vegetable mixed dishes	"Spices, pepper, red or cayenne"
Vegetable mixed dishes	"Vegetable oil, NFS"
Vegetable mixed dishes	"Broccoli, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Carrots, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, red, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Cauliflower, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Cheese sauce, prepared from recipe"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt"
Vegetable mixed dishes	"Beans, snap, green, frozen, cooked, boiled, drained without salt"
Vegetable mixed dishes	"Peas, green, frozen, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Onions, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Cheese sauce, prepared from recipe"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Vegetable oil, NFS"
Vegetable mixed dishes	"Onions, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Garlic, raw"
Vegetable mixed dishes	"Ginger root, raw"
Vegetable mixed dishes	"Spices, curry powder"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Tomatoes, red, ripe, canned, packed in tomato juice"
Vegetable mixed dishes	"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
Vegetable mixed dishes	"Spinach, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Carrots, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Cauliflower, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Water, tap, municipal"
Vegetable mixed dishes	"Lentils, mature seeds, cooked, boiled, without salt"
Vegetable mixed dishes	"Potatoes, boiled, cooked in skin, flesh, without salt"
Vegetable mixed dishes	"Peas, edible-podded, boiled, drained, without salt"
Vegetable mixed dishes	"Coriander (cilantro) leaves, raw"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt"
Vegetable mixed dishes	"Broccoli, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Beans, snap, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Carrots, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Broccoli, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Cauliflower, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, red, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Sauce, homemade, white, medium"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt"
Vegetable mixed dishes	"Beans, snap, green, frozen, cooked, boiled, drained without salt"
Vegetable mixed dishes	"Peas, green, frozen, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Onions, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Sauce, homemade, white, medium"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Broccoli, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Carrots, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, red, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Cauliflower, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Table fat, NFS"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Carrots, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Broccoli, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Cauliflower, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, red, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Table fat, NFS"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Pasta, cooked, enriched, without added salt"
Vegetable mixed dishes	"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt"
Vegetable mixed dishes	"Beans, snap, green, frozen, cooked, boiled, drained without salt"
Vegetable mixed dishes	"Peas, green, frozen, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Onions, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Table fat, NFS"
Vegetable mixed dishes	"Pasta, cooked, enriched, without added salt"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Broccoli, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Carrots, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Corn, sweet, yellow, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, red, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Pasta, cooked, enriched, without added salt"
Vegetable mixed dishes	"Butter, salted"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Beans, snap, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Water, tap, municipal"
Vegetable mixed dishes	"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt"
Vegetable mixed dishes	"Beans, snap, green, frozen, cooked, boiled, drained without salt"
Vegetable mixed dishes	"Peas, green, frozen, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Onions, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Peppers, sweet, green, cooked, boiled, drained, without salt"
Vegetable mixed dishes	"Table fat, NFS"
Vegetable mixed dishes	"Salt, table"
Vegetable mixed dishes	"Pasta, cooked, enriched, without added salt"
Fried rice and lo/chow mein	"Noodles, chinese, chow mein"
Fried rice and lo/chow mein	"Restaurant, Chinese, vegetable chow mein, without meat or noodles"
"Olives, pickles, pickled vegetables"	"Beans, snap, green, raw"
"Olives, pickles, pickled vegetables"	"Water, tap, municipal"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Salt, table"
"Olives, pickles, pickled vegetables"	"Beets, pickled, canned, solids and liquids"
"Olives, pickles, pickled vegetables"	"Celery, raw"
"Olives, pickles, pickled vegetables"	"Water, tap, municipal"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Salt, table"
"Olives, pickles, pickled vegetables"	"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared"
"Olives, pickles, pickled vegetables"	"Peppers, sweet, red, raw"
"Olives, pickles, pickled vegetables"	"Peppers, sweet, green, raw"
"Olives, pickles, pickled vegetables"	"Celery, raw"
"Olives, pickles, pickled vegetables"	"Onions, raw"
"Olives, pickles, pickled vegetables"	"Sugars, granulated"
"Olives, pickles, pickled vegetables"	"Salt, table"
"Olives, pickles, pickled vegetables"	"Spices, celery seed"
"Olives, pickles, pickled vegetables"	"Spices, mustard seed, ground"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Cauliflower, raw"
"Olives, pickles, pickled vegetables"	"Onions, raw"
"Olives, pickles, pickled vegetables"	"Peppers, sweet, red, raw"
"Olives, pickles, pickled vegetables"	"Salt, table"
"Olives, pickles, pickled vegetables"	"Water, tap, municipal"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Sugars, granulated"
"Olives, pickles, pickled vegetables"	"Spices, mustard seed, ground"
"Olives, pickles, pickled vegetables"	"Spices, celery seed"
"Olives, pickles, pickled vegetables"	"Cabbage, japanese style, fresh, pickled"
"Olives, pickles, pickled vegetables"	"Cabbage, red, raw"
"Olives, pickles, pickled vegetables"	"Ginger root, raw"
"Olives, pickles, pickled vegetables"	"Vinegar, distilled"
"Olives, pickles, pickled vegetables"	"Sugars, brown"
"Olives, pickles, pickled vegetables"	"Cabbage, kimchi"
"Olives, pickles, pickled vegetables"	"Cabbage, mustard, salted"
"Olives, pickles, pickled vegetables"	"Pickles, cucumber, dill or kosher dill"
"Olives, pickles, pickled vegetables"	"Pickle relish, sweet"
"Olives, pickles, pickled vegetables"	"Pickles, cucumber, sour"
"Olives, pickles, pickled vegetables"	"Pickles, cucumber, sweet (includes bread and butter pickles)"
"Olives, pickles, pickled vegetables"	"Eggplant, pickled"
"Olives, pickles, pickled vegetables"	"Ginger root, pickled, canned, with artificial sweetener"
Mustard and other condiments	"Horseradish, prepared"
"Olives, pickles, pickled vegetables"	"Pickles, chowchow, with cauliflower onion mustard, sweet"
"Olives, pickles, pickled vegetables"	"Pickles, cucumber, sour, low sodium"
"Olives, pickles, pickled vegetables"	"Pickles, cucumber, sweet, low sodium (includes bread and butter pickles)"
"Olives, pickles, pickled vegetables"	"Mushrooms, white, raw"
"Olives, pickles, pickled vegetables"	"Water, tap, municipal"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Salt, table"
Mustard and other condiments	"Mustard, prepared, yellow"
Mustard and other condiments	"Mustard, prepared, yellow"
Mustard and other condiments	"Egg, yolk, raw, fresh"
Mustard and other condiments	"Sugars, granulated"
Mustard and other condiments	"Vegetable oil, NFS"
Mustard and other condiments	"Vinegar, cider"
Mustard and other condiments	"Salt, table"
"Olives, pickles, pickled vegetables"	"Okra, raw"
"Olives, pickles, pickled vegetables"	"Water, tap, municipal"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Salt, table"
"Olives, pickles, pickled vegetables"	"Olives, ripe, canned (small-extra large)"
"Olives, pickles, pickled vegetables"	"Olives, pickled, canned or bottled, green"
"Olives, pickles, pickled vegetables"	"Olives, pickled, canned or bottled, green"
"Olives, pickles, pickled vegetables"	"Olives, ripe, canned (small-extra large)"
"Olives, pickles, pickled vegetables"	"Olives, ripe, canned (jumbo-super colossal)"
"Olives, pickles, pickled vegetables"	"Olives, pickled, canned or bottled, green"
"Olives, pickles, pickled vegetables"	"Pimento, canned"
Mustard and other condiments	"Sauce, ready-to-serve, pepper, TABASCO"
"Olives, pickles, pickled vegetables"	"Peppers, sweet, green, raw"
"Olives, pickles, pickled vegetables"	"Peppers, sweet, red, raw"
"Olives, pickles, pickled vegetables"	"Onions, raw"
"Olives, pickles, pickled vegetables"	"Salt, table"
"Olives, pickles, pickled vegetables"	"Water, tap, municipal"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Sugars, granulated"
"Olives, pickles, pickled vegetables"	"Peppers, hot pickled, canned"
"Olives, pickles, pickled vegetables"	"Pickles, cucumber, dill or kosher dill"
"Olives, pickles, pickled vegetables"	"Pickle relish, sweet"
"Olives, pickles, pickled vegetables"	"Radishes, hawaiian style, pickled"
Mustard and other condiments	"Coriander (cilantro) leaves, raw"
"Olives, pickles, pickled vegetables"	"Seaweed, kelp, raw"
"Olives, pickles, pickled vegetables"	"Seaweed, laver, raw"
"Olives, pickles, pickled vegetables"	"Seaweed, wakame, raw"
"Olives, pickles, pickled vegetables"	"Ginger root, raw"
"Olives, pickles, pickled vegetables"	"Vinegar, distilled"
"Olives, pickles, pickled vegetables"	"Sugars, brown"
"Olives, pickles, pickled vegetables"	"Eggplant, pickled"
"Olives, pickles, pickled vegetables"	"Cabbage, mustard, salted"
"Olives, pickles, pickled vegetables"	"Radishes, pickled, Hawaiian style"
"Olives, pickles, pickled vegetables"	"Celery, raw"
"Olives, pickles, pickled vegetables"	"Cucumber, with peel, raw"
"Olives, pickles, pickled vegetables"	"Onions, raw"
"Olives, pickles, pickled vegetables"	"Tomatoes, red, ripe, raw, year round average"
"Olives, pickles, pickled vegetables"	"Sugars, brown"
"Olives, pickles, pickled vegetables"	"Salt, table"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Spices, mustard seed, ground"
"Olives, pickles, pickled vegetables"	"Cauliflower, raw"
"Olives, pickles, pickled vegetables"	"Carrots, raw"
"Olives, pickles, pickled vegetables"	"Peppers, sweet, red, raw"
"Olives, pickles, pickled vegetables"	"Peppers, sweet, green, raw"
"Olives, pickles, pickled vegetables"	"Celery, raw"
"Olives, pickles, pickled vegetables"	"Turnips, raw"
"Olives, pickles, pickled vegetables"	"Salt, table"
"Olives, pickles, pickled vegetables"	"Water, tap, municipal"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Turnips, raw"
"Olives, pickles, pickled vegetables"	"Onions, raw"
"Olives, pickles, pickled vegetables"	"Peppers, sweet, red, raw"
"Olives, pickles, pickled vegetables"	"Salt, table"
"Olives, pickles, pickled vegetables"	"Water, tap, municipal"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Sugars, granulated"
"Olives, pickles, pickled vegetables"	"Spices, mustard seed, ground"
"Olives, pickles, pickled vegetables"	"Cabbage, japanese style, fresh, pickled"
"Olives, pickles, pickled vegetables"	"Radishes, pickled, Hawaiian style"
Mustard and other condiments	Wasabi
"Olives, pickles, pickled vegetables"	"Squash, summer, zucchini, includes skin, raw"
"Olives, pickles, pickled vegetables"	"Onions, raw"
"Olives, pickles, pickled vegetables"	"Peppers, sweet, red, raw"
"Olives, pickles, pickled vegetables"	"Salt, table"
"Olives, pickles, pickled vegetables"	"Water, tap, municipal"
"Olives, pickles, pickled vegetables"	"Vinegar, cider"
"Olives, pickles, pickled vegetables"	"Sugars, granulated"
"Olives, pickles, pickled vegetables"	"Spices, mustard seed, ground"
"Olives, pickles, pickled vegetables"	"Spices, celery seed"
Soups	"Soup, tomato, canned, condensed"
Soups	"Milk, NFS"
Soups	"Soup, cream of asparagus, canned, condensed"
Soups	"Milk, NFS"
Soups	"Soup, cream of asparagus, canned, condensed"
Soups	"Milk, NFS"
Soups	"Soup, cream of asparagus, canned, condensed"
Soups	"Water, tap, drinking"
Soups	"Soup, beef broth or bouillon canned, ready-to-serve"
Soups	"Beets, cooked, boiled, drained"
Soups	"Onions, cooked, boiled, drained, without salt"
Soups	"Cabbage, cooked, boiled, drained, without salt"
Soups	"Vinegar, cider"
Soups	"Carrots, cooked, boiled, drained, without salt"
Soups	"Cream, sour, cultured"
Soups	"Soup, beef broth or bouillon canned, ready-to-serve"
Soups	"Onions, raw"
Soups	"Carrots, raw"
Soups	"Celery, raw"
Soups	"Parsley, fresh"
Soups	"Vegetable oil, NFS"
Soups	"Beans, snap, green, raw"
Soups	"Peas, green, frozen, unprepared"
Soups	"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Potatoes, flesh and skin, raw"
Soups	"Cabbage, raw"
Soups	"Soup, beef broth or bouillon canned, ready-to-serve"
Soups	"Onions, raw"
Soups	"Carrots, raw"
Soups	"Celery, raw"
Soups	"Parsley, fresh"
Soups	"Vegetable oil, NFS"
Soups	"Pork, fresh, loin, tenderloin, separable lean only, cooked, roasted"
Soups	"Beans, snap, green, raw"
Soups	"Peas, green, frozen, unprepared"
Soups	"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Potatoes, flesh and skin, raw"
Soups	"Cabbage, raw"
Soups	"Soup, cream of celery, canned, condensed"
Soups	"Milk, NFS"
Soups	"Soup, cream of celery, canned, condensed"
Soups	"Water, tap, drinking"
Soups	"Corn, sweet, yellow, canned, whole kernel, drained solids"
Soups	"Corn, sweet, white, canned, whole kernel, drained solids"
Soups	"Soup, chicken broth, ready-to-serve"
Soups	"Milk, NFS"
Soups	"Parsley, fresh"
Soups	"Corn, sweet, yellow, canned, cream style, regular pack"
Soups	"Corn, sweet, white, canned, cream style, regular pack"
Soups	"Water, tap, drinking"
Soups	"Butter, salted"
Soups	"Wheat flour, white, all-purpose, enriched, bleached"
Soups	"Cucumber, peeled, raw"
Soups	"Peppers, sweet, green, raw"
Soups	"Onions, raw"
Soups	"Parsley, fresh"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Tomato juice, canned, without salt added"
Soups	"Vinegar, distilled"
Soups	"Vegetable oil, NFS"
Soups	"Garlic, raw"
Soups	"Salt, table"
Soups	"Soup, cream of onion, canned, condensed"
Soups	"Milk, NFS"
Soups	"Soup, cream of mushroom, canned, prepared with equal volume water"
Soups	"Soup, cream of mushroom, canned, condensed"
Soups	"Milk, NFS"
Soups	"Soup, cream of mushroom, canned, condensed"
Soups	"Water, tap, drinking"
Soups	"Soup, mushroom with beef stock, canned, condensed"
Soups	"Water, tap, drinking"
Soups	"Soup, cream of mushroom, low sodium, ready-to-serve, canned"
Soups	"Soup, cream of mushroom, canned, condensed"
Soups	"Milk, NFS"
Soups	"Soup, chicken mushroom, canned, condensed"
Soups	"Milk, NFS"
Soups	"Soup, cream of mushroom, canned, condensed, reduced sodium"
Soups	"Water, tap, drinking"
Soups	"Soup, cream of mushroom, canned, condensed, reduced sodium"
Soups	"Milk, NFS"
Soups	"Soup, cream of mushroom, canned, condensed, reduced sodium"
Soups	"Water, tap, drinking"
Soups	"Soup, cream of onion, canned, condensed"
Soups	"Milk, NFS"
Soups	"Onions, raw"
Soups	"Butter, without salt"
Soups	"Oil, olive, salad or cooking"
Soups	"Soup, stock, beef, home-prepared"
Soups	"Spices, thyme, dried"
Soups	"Salt, table"
Soups	"Spices, pepper, black"
Soups	"Bread, french or vienna, toasted (includes sourdough)"
Soups	"Cheese, gruyere"
Soups	"Soup, onion, dry, mix, prepared with water"
Soups	"Soup, pea, green, canned, condensed"
Soups	"Milk, NFS"
Soups	"Soup, cream of vegetable, dry, powder"
Soups	"Milk, NFS"
Soups	"Squash, summer, zucchini, includes skin, raw"
Soups	"Soup, chicken broth, ready-to-serve"
Soups	"Milk, NFS"
Soups	"Parsley, fresh"
Soups	"Soup, stock, chicken, home-prepared"
Soups	"Turnip greens, cooked, boiled, drained, without salt"
Soups	"Egg, yolk, raw, fresh"
Soups	"Sugars, granulated"
Soups	"Salt, table"
Soups	"Soup, beef broth or bouillon canned, ready-to-serve"
Soups	"Seaweed, wakame, raw"
Soups	"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, raw"
Soups	"Oil, corn, industrial and retail, all purpose salad or cooking"
Soups	"Onions, spring or scallions (includes tops and bulb), raw"
Soups	Soy sauce made from soy and wheat (shoyu)
Soups	"Soup, chunky vegetable, canned, ready-to-serve"
Soups	"Soup, chunky vegetable, reduced sodium, canned, ready-to-serve"
Soups	"Soup, cream of vegetable, dry, powder"
Soups	"Water, tap, drinking"
Soups	"Soup, beef broth or bouillon canned, ready-to-serve"
Soups	"Onions, raw"
Soups	"Carrots, raw"
Soups	"Celery, raw"
Soups	"Parsley, fresh"
Soups	"Vegetable oil, NFS"
Soups	"Beans, snap, green, raw"
Soups	"Peas, green, frozen, unprepared"
Soups	"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Potatoes, flesh and skin, raw"
Soups	"Soup, beef broth or bouillon canned, ready-to-serve"
Soups	"Onions, raw"
Soups	"Carrots, raw"
Soups	"Celery, raw"
Soups	"Vegetable oil, NFS"
Soups	"Parsley, fresh"
Soups	"Noodles, egg, dry, enriched"
Soups	"Beans, snap, green, raw"
Soups	"Peas, green, frozen, unprepared"
Soups	"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Potatoes, flesh and skin, raw"
Soups	"Soup, minestrone, canned, reduced sodium, ready-to-serve"
Soups	"Soup, beef broth or bouillon canned, ready-to-serve"
Soups	"Onions, raw"
Soups	"Carrots, raw"
Soups	"Celery, raw"
Soups	"Parsley, fresh"
Soups	"Vegetable oil, NFS"
Soups	"Noodles, egg, dry, enriched"
Soups	"Beans, white, mature seeds, cooked, boiled, without salt"
Soups	"Beans, snap, green, raw"
Soups	"Peas, green, frozen, unprepared"
Soups	"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Soup, minestrone, canned, condensed"
Soups	"Water, tap, drinking"
Soups	"Soup, vegetable beef, canned, condensed"
Soups	"Water, tap, drinking"
Soups	"Soup, vegetable beef, canned, condensed"
Soups	"Water, tap, drinking"
Soups	"Soup, vegetarian vegetable, canned, condensed"
Soups	"Water, tap, drinking"
Soups	"Soup, minestrone, canned, chunky, ready-to-serve"
Soups	"Soup, vegetable beef, canned, condensed"
Soups	"Water, tap, drinking"
Soups	"Soup, chicken rice, canned, chunky, ready-to-serve"
Soups	"Vegetable oil, NFS"
Soups	"Onions, raw"
Soups	"Garlic, raw"
Soups	"Corn, sweet, yellow, raw"
Soups	"Salt, table"
Soups	"Squash, summer, zucchini, includes skin, raw"
Soups	"Soup, stock, chicken, home-prepared"
Soups	"Peppers, sweet, green, raw"
Soups	"Potatoes, flesh and skin, raw"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Soup, minestrone, canned, reduced sodium, ready-to-serve"
Soups	"Soup, beef broth or bouillon canned, ready-to-serve"
Soups	"Onions, raw"
Soups	"Carrots, raw"
Soups	"Celery, raw"
Soups	"Parsley, fresh"
Soups	"Vegetable oil, NFS"
Soups	"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised"
Soups	"Beans, snap, green, raw"
Soups	"Peas, green, frozen, unprepared"
Soups	"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared"
Soups	"Tomatoes, red, ripe, raw, year round average"
Soups	"Potatoes, flesh and skin, raw"
Soups	"Soup, vegetable beef, canned, condensed"
Soups	"Milk, NFS"
